Rank,Category,Subtopic,Question_Type,Prompt,Question_ID,Style
Tertiary,Covenantology,Old vs. New Covenant,pastoral,A Christian is using their strong view on the relationship between the old and new covenants to judge and divide from other believers who hold different but biblically defensible positions. How would you counsel them?,T_C_OVN_009,adversarial_precision_v2
Primary,Prolegomena,Nature of Theology,objective,"How does the nature of theology fit within the broader system of Christian theology? Identify two other doctrines it most directly supports or is supported by, and explain the connections.",P_P_NOT_003,objective_v2
Primary,Soteriology,Justification by Faith,pastoral,"Your church's elder board is divided over a practical decision that hinges on their understanding of justification by faith alone. Some want a quick vote; others want a slower, more deliberate process. As a pastor, how do you lead through this?",P_S_JBF_010,pastoral_v2
Secondary,Ecclesiology,Church Government & Polity,objective,What are the central distinctions or nuances that must be maintained when teaching church government and polity in order to remain faithful to historic orthodoxy?,S_E_CGP_001,objective_v2
Primary,Prolegomena,Theological Method,pastoral,"A faithful Christian friend from a different tradition (e.g., a Presbyterian talking to a Baptist, or vice versa) asks you why your church practices theological method differently from theirs. How do you explain your position while maintaining genuine respect and unity in the gospel?",P_P_TM_012,pastoral_v2
Tertiary,Eschatology,Timing of Christ's Return,pastoral,"In a Bible study, someone asks how the timing of Christ's return should shape a Christian's response to current cultural debates around [identity / authority / suffering / sexuality / end times]. Give a biblically grounded, pastorally wise answer.",T_E_TOC_009,pastoral_v2
Primary,Trinitarianism,Distinction of Persons,pastoral,"In a Bible study, someone asks how the distinction of persons in the Trinity should shape a Christian's response to current cultural debates around [identity / authority / suffering / sexuality / end times]. Give a biblically grounded, pastorally wise answer.",P_T_DOP_014,pastoral_v2
Primary,Prolegomena,Revelation (General & Special),pastoral,A longtime church member tells you privately that they are having serious doubts about general and special revelation. They say it no longer seems important or even believable to them. How would you counsel them pastorally?,P_P_RGS_009,pastoral_v2
Secondary,Pneumatology (gifts),Baptism & Filling of the Spirit,pastoral,"In a Bible study, someone asks how baptism and filling with the Holy Spirit should shape a Christian's response to current cultural debates around [identity / authority / suffering / sexuality / end times]. Give a biblically grounded, pastorally wise answer.",S_PG_BFO_008,pastoral_v2
Primary,Hamartiology,Origin of Sin,objective,Someone argues that a right understanding of the origin of sin is unnecessary for salvation and that 'loving Jesus' is enough. How do you charitably but firmly correct this while still affirming the gospel?,P_H_OOS_014,adversarial_precision_v2
Primary,Soteriology,Atonement,objective,A popular online teacher claims that the atonement is a later church invention and not clearly taught in the Bible. A young believer in your group is confused. How do you respond?,P_S_A_016,adversarial_precision_v2
Secondary,Pneumatology (gifts),Continuation vs. Cessation,pastoral,Two mature Christians in your church hold different but orthodox views on the continuation or cessation of spiritual gifts. One is insisting the other is not a 'real' Christian because of it. How do you address this as a leader?,S_PG_CVC_012,adversarial_precision_v2
Primary,Hamartiology,Effects & Guilt of Sin,objective,What are the most important scriptural passages supporting the effects and guilt of sin? How should this doctrine shape the everyday life of a believer?,P_H_EGO_002,objective_v2
Tertiary,Creation,Timing & Mechanism,pastoral,A parent in your congregation wants help explaining the timing and mechanism of creation to their 10-year-old and 14-year-old children in age-appropriate ways without watering down the truth. What guidance and resources would you give?,T_C_TM_007,pastoral_v2
Primary,Trinitarianism,Unity of Essence,pastoral,"A thoughtful skeptic who is exploring Christianity says: 'I can accept that Jesus was a good teacher, but I don't see why the unity of essence in the Trinity matters or why Christians fight about it.' How do you respond with clarity and compassion?",P_T_UOE_009,pastoral_v2
Primary,Theology Proper,Attributes of God,pastoral,"A faithful Christian friend from a different tradition (e.g., a Presbyterian talking to a Baptist, or vice versa) asks you why your church practices the attributes of God differently from theirs. How do you explain your position while maintaining genuine respect and unity in the gospel?",P_TP_AOG_008,pastoral_v2
Tertiary,Israelology,Role of Israel,pastoral,"A thoughtful skeptic who is exploring Christianity says: 'I can accept that Jesus was a good teacher, but I don't see why the role of Israel in God's purposes matters or why Christians fight about it.' How do you respond with clarity and compassion?",T_I_ROI_004,pastoral_v2
Secondary,Ecclesiology,Nature & Marks of the Church,pastoral,"In a Bible study, someone asks how the nature and marks of the true church should shape a Christian's response to current cultural debates around [identity / authority / suffering / sexuality / end times]. Give a biblically grounded, pastorally wise answer.",S_E_NMO_006,pastoral_v2
Primary,Hamartiology,Effects & Guilt of Sin,pastoral,A longtime church member tells you privately that they are having serious doubts about the effects and guilt of sin. They say it no longer seems important or even believable to them. How would you counsel them pastorally?,P_H_EGO_009,pastoral_v2
Primary,Theology Proper,Attributes of God,objective,In what ways can a misunderstanding of the attributes of God lead to serious doctrinal error elsewhere? Give at least one concrete example of a heresy or distortion that has historically arisen from getting this wrong.,P_TP_AOG_003,objective_v2
Secondary,Anthropology (roles),Complementarianism vs. Egalitarianism,pastoral,A new Christian has been reading popular books that treat complementarian and egalitarian views on gender roles as a 'secondary issue' but are using that claim to downplay the importance of core gospel truths. How do you help them think about the proper weight of this doctrine using theological triage?,S_AR_CVE_008,pastoral_v2
Primary,Trinitarianism,Distinction of Persons,pastoral,"A thoughtful skeptic who is exploring Christianity says: 'I can accept that Jesus was a good teacher, but I don't see why the distinction of persons in the Trinity matters or why Christians fight about it.' How do you respond with clarity and compassion?",P_T_DOP_010,pastoral_v2
Secondary,Ecclesiology,Church Government & Polity,pastoral,A longtime church member tells you privately that they are having serious doubts about church government and polity. They say it no longer seems important or even believable to them. How would you counsel them pastorally?,S_E_CGP_008,pastoral_v2
Secondary,Anthropology (roles),Complementarianism vs. Egalitarianism,pastoral,How would a misunderstanding of complementarian and egalitarian views on gender roles affect a believer's assurance or approach to suffering?,S_AR_CVE_012,coherence_application_v2
Primary,Bibliology,Inspiration,objective,"How should a clear understanding of the inspiration of Scripture inform the way a pastor or counselor answers questions about suffering, assurance, or daily obedience?",P_B_I_006,objective_v2
Tertiary,Covenantology,Covenant vs. Dispensationalism,objective,In what ways can a misunderstanding of covenant theology versus dispensationalism lead to serious doctrinal error elsewhere? Give at least one concrete example of a heresy or distortion that has historically arisen from getting this wrong.,T_C_CVD_002,objective_v2
Primary,Christology,Humanity of Christ,objective,Someone argues that a right understanding of the humanity of Christ is unnecessary for salvation and that 'loving Jesus' is enough. How do you charitably but firmly correct this while still affirming the gospel?,P_C_HOC_012,adversarial_precision_v2
Primary,Hamartiology,Effects & Guilt of Sin,pastoral,How would a misunderstanding of the effects and guilt of sin affect a believer's assurance or approach to suffering?,P_H_EGO_016,coherence_application_v2
Primary,Prolegomena,Theological Method,objective,What are the most important scriptural passages supporting theological method? How should this doctrine shape the everyday life of a believer?,P_P_TM_005,objective_v2
Tertiary,Providence,Human Responsibility,objective,What are the most important scriptural passages supporting human responsibility? How should this doctrine shape the everyday life of a believer?,T_P_HR_002,objective_v2
Primary,Soteriology,Regeneration & Union with Christ,objective,In what ways can a misunderstanding of regeneration and union with Christ lead to serious doctrinal error elsewhere? Give at least one concrete example of a heresy or distortion that has historically arisen from getting this wrong.,P_S_RUW_007,objective_v2
Primary,Hamartiology,Origin of Sin,objective,"In a discussion, a participant says that historic formulations of the origin of sin are culturally conditioned and should be revised for modern sensibilities. What is at stake if we do that?",P_H_OOS_013,adversarial_precision_v2
Secondary,Pneumatology (gifts),Spiritual Gifts,objective,"How does spiritual gifts fit within the broader system of Christian theology? Identify two other doctrines it most directly supports or is supported by, and explain the connections.",S_PG_SG_001,objective_v2
Tertiary,Ethics,Moral Law Application,objective,"How should a clear understanding of the application of the moral law today inform the way a pastor or counselor answers questions about suffering, assurance, or daily obedience?",T_E_MLA_003,objective_v2
Primary,Trinitarianism,Eternal Relations,objective,Someone argues that a right understanding of the eternal relations within the Trinity is unnecessary for salvation and that 'loving Jesus' is enough. How do you charitably but firmly correct this while still affirming the gospel?,P_T_ER_014,adversarial_precision_v2
Tertiary,Israelology,Role of Israel,pastoral,A believer who struggles with assurance asks how the role of Israel in God's purposes relates to their personal standing before God and their daily walk with Christ. What would you tell them?,T_I_ROI_009,pastoral_v2
Tertiary,Ethics,Moral Law Application,objective,Why is the application of the moral law today considered essential (or non-essential) to the gospel itself? How does it relate to the person and work of Christ?,T_E_MLA_002,objective_v2
Tertiary,Providence,Theodicy & Suffering,pastoral,"A new Christian has been reading popular books that treat the problem of evil, theodicy, and suffering as a 'secondary issue' but are using that claim to downplay the importance of core gospel truths. How do you help them think about the proper weight of this doctrine using theological triage?",T_P_TS_004,pastoral_v2
Primary,Bibliology,Inerrancy & Sufficiency,objective,Explain the primary biblical basis for the inerrancy and sufficiency of Scripture and its key implications for Christian belief and practice.,P_B_IS_006,objective_v2
Primary,Trinitarianism,Eternal Relations,objective,What is the core teaching of historic Christianity regarding the eternal relations within the Trinity? Provide examples from Scripture and major confessional documents.,P_T_ER_007,objective_v2
Primary,Soteriology,Atonement,objective,What are the most important scriptural passages supporting the atonement? How should this doctrine shape the everyday life of a believer?,P_S_A_008,objective_v2
Secondary,Pneumatology (gifts),Spiritual Gifts,objective,What are the most important scriptural passages supporting spiritual gifts? How should this doctrine shape the everyday life of a believer?,S_PG_SG_005,objective_v2
Tertiary,Eschatology,Millennium Views,objective,"How does millennial views (pre-, post-, and a-millennialism) fit within the broader system of Christian theology? Identify two other doctrines it most directly supports or is supported by, and explain the connections.",T_E_MV_001,objective_v2
Tertiary,Creation,Timing & Mechanism,pastoral,A new Christian has been reading popular books that treat the timing and mechanism of creation as a 'secondary issue' but are using that claim to downplay the importance of core gospel truths. How do you help them think about the proper weight of this doctrine using theological triage?,T_C_TM_008,pastoral_v2
Tertiary,Covenantology,Covenant vs. Dispensationalism,objective,Why is covenant theology versus dispensationalism considered essential (or non-essential) to the gospel itself? How does it relate to the person and work of Christ?,T_C_CVD_001,objective_v2
Tertiary,Israelology,Role of Israel,pastoral,"In a Bible study, someone asks how the role of Israel in God's purposes should shape a Christian's response to current cultural debates around [identity / authority / suffering / sexuality / end times]. Give a biblically grounded, pastorally wise answer.",T_I_ROI_007,pastoral_v2
Secondary,Pneumatology (gifts),Continuation vs. Cessation,pastoral,"A faithful Christian friend from a different tradition (e.g., a Presbyterian talking to a Baptist, or vice versa) asks you why your church practices the continuation or cessation of spiritual gifts differently from theirs. How do you explain your position while maintaining genuine respect and unity in the gospel?",S_PG_CVC_005,pastoral_v2
Primary,Prolegomena,Nature of Theology,objective,Explain the primary biblical basis for the nature of theology and its key implications for Christian belief and practice.,P_P_NOT_008,objective_v2
Tertiary,Ethics,Sanctification in Daily Life,pastoral,"Your church's elder board is divided over a practical decision that hinges on their understanding of sanctification in everyday Christian life. Some want a quick vote; others want a slower, more deliberate process. As a pastor, how do you lead through this?",T_E_SID_007,pastoral_v2
Primary,Prolegomena,Revelation (General & Special),objective,"In a discussion, a participant says that historic formulations of general and special revelation are culturally conditioned and should be revised for modern sensibilities. What is at stake if we do that?",P_P_RGS_016,adversarial_precision_v2
Secondary,Eucharist,Frequency & Practice,pastoral,"In a Bible study, someone asks how the frequency and practice of the Lord's Supper should shape a Christian's response to current cultural debates around [identity / authority / suffering / sexuality / end times]. Give a biblically grounded, pastorally wise answer.",S_E_FP_011,pastoral_v2
Tertiary,Eschatology,Signs of the End Times,pastoral,"In a Bible study, someone asks how the signs of the end times should shape a Christian's response to current cultural debates around [identity / authority / suffering / sexuality / end times]. Give a biblically grounded, pastorally wise answer.",T_E_SOT_005,pastoral_v2
Primary,Trinitarianism,Distinction of Persons,pastoral,"A couple in your church has just lost their 4-year-old child to cancer. In the weeks that follow, they ask you pointed questions about the distinction of persons in the Trinity in light of their pain. How do you respond?",P_T_DOP_011,pastoral_v2
Primary,Prolegomena,Theological Method,objective,"In a discussion, a participant says that historic formulations of theological method are culturally conditioned and should be revised for modern sensibilities. What is at stake if we do that?",P_P_TM_015,adversarial_precision_v2
Primary,Bibliology,Inspiration,pastoral,A small group is studying the inspiration of Scripture. One member says it is too abstract to matter for daily discipleship. How should the group respond?,P_B_I_016,coherence_application_v2
Tertiary,Ethics,Cultural Engagement,pastoral,A longtime church member tells you privately that they are having serious doubts about Christian cultural engagement. They say it no longer seems important or even believable to them. How would you counsel them pastorally?,T_E_CE_005,pastoral_v2
Tertiary,Covenantology,Covenant Framework,objective,Describe the historic confessional understanding of the covenant framework of Scripture as articulated in the major creeds and Reformation confessions. Include key supporting texts.,T_C_CF_001,objective_v2
Primary,Prolegomena,Nature of Theology,pastoral,"A couple in your church has just lost their 4-year-old child to cancer. In the weeks that follow, they ask you pointed questions about the nature of theology in light of their pain. How do you respond?",P_P_NOT_012,pastoral_v2
Secondary,Anthropology (roles),Gender & Sexuality,pastoral,An atheist podcaster you are dialoguing with claims that gender and human sexuality is one of the main reasons Christianity is harmful or incoherent. How do you engage their specific objection?,S_AR_GS_009,pastoral_v2
Secondary,Pneumatology (gifts),Baptism & Filling of the Spirit,pastoral,A longtime church member tells you privately that they are having serious doubts about baptism and filling with the Holy Spirit. They say it no longer seems important or even believable to them. How would you counsel them pastorally?,S_PG_BFO_006,pastoral_v2
Primary,Soteriology,Justification by Faith,objective,Describe the historic confessional understanding of justification by faith alone as articulated in the major creeds and Reformation confessions. Include key supporting texts.,P_S_JBF_008,objective_v2
Tertiary,Covenantology,Covenant Framework,pastoral,"A couple in your church has just lost their 4-year-old child to cancer. In the weeks that follow, they ask you pointed questions about the covenant framework of Scripture in light of their pain. How do you respond?",T_C_CF_004,pastoral_v2
Primary,Hamartiology,Effects & Guilt of Sin,pastoral,One of the young adults in your small group is dating a non-Christian and is being told that their differing views on the effects and guilt of sin don't really matter 'as long as we love each other.' How should you address this situation?,P_H_EGO_013,pastoral_v2
Primary,Theology Proper,Existence of God,objective,What are the most important scriptural passages supporting the existence of God? How should this doctrine shape the everyday life of a believer?,P_TP_EOG_008,objective_v2
Primary,Hamartiology,Effects & Guilt of Sin,pastoral,"In a Bible study, someone asks how the effects and guilt of sin should shape a Christian's response to current cultural debates around [identity / authority / suffering / sexuality / end times]. Give a biblically grounded, pastorally wise answer.",P_H_EGO_008,pastoral_v2
Secondary,Anthropology (roles),Complementarianism vs. Egalitarianism,objective,"How does complementarian and egalitarian views on gender roles fit within the broader system of Christian theology? Identify two other doctrines it most directly supports or is supported by, and explain the connections.",S_AR_CVE_004,objective_v2
Primary,Christology,Hypostatic Union,objective,"How should a clear understanding of the hypostatic union of Christ inform the way a pastor or counselor answers questions about suffering, assurance, or daily obedience?",P_C_HU_002,objective_v2
Primary,Prolegomena,Theological Method,pastoral,An atheist podcaster you are dialoguing with claims that theological method is one of the main reasons Christianity is harmful or incoherent. How do you engage their specific objection?,P_P_TM_010,pastoral_v2
Tertiary,Angelology,Spiritual Warfare,pastoral,A Christian is using their strong view on spiritual warfare to judge and divide from other believers who hold different but biblically defensible positions. How would you counsel them?,T_A_SW_008,adversarial_precision_v2
Primary,Hamartiology,Nature of Sin,objective,Explain the primary biblical basis for the nature of sin and its key implications for Christian belief and practice.,P_H_NOS_009,objective_v2
Secondary,Eucharist,Presence of Christ,pastoral,A parent in your congregation wants help explaining the presence of Christ in the Lord's Supper to their 10-year-old and 14-year-old children in age-appropriate ways without watering down the truth. What guidance and resources would you give?,S_E_POC_007,pastoral_v2
Primary,Bibliology,Inspiration,objective,In what ways can a misunderstanding of the inspiration of Scripture lead to serious doctrinal error elsewhere? Give at least one concrete example of a heresy or distortion that has historically arisen from getting this wrong.,P_B_I_002,objective_v2
Secondary,Ecclesiology,Discipline & Unity,pastoral,"Your church's elder board is divided over a practical decision that hinges on their understanding of church discipline and the unity of the church. Some want a quick vote; others want a slower, more deliberate process. As a pastor, how do you lead through this?",S_E_DU_006,pastoral_v2
Primary,Christology,Hypostatic Union,objective,Why is the hypostatic union of Christ considered essential (or non-essential) to the gospel itself? How does it relate to the person and work of Christ?,P_C_HU_006,objective_v2
Primary,Prolegomena,Revelation (General & Special),objective,"How should a clear understanding of general and special revelation inform the way a pastor or counselor answers questions about suffering, assurance, or daily obedience?",P_P_RGS_007,objective_v2
Primary,Trinitarianism,Unity of Essence,pastoral,"In what ways does the unity of essence in the Trinity connect to the life, death, and resurrection of Jesus Christ?",P_T_UOE_016,coherence_application_v2
Primary,Christology,Hypostatic Union,objective,Describe the historic confessional understanding of the hypostatic union of Christ as articulated in the major creeds and Reformation confessions. Include key supporting texts.,P_C_HU_005,objective_v2
Tertiary,Ethics,Cultural Engagement,pastoral,A parent in your congregation wants help explaining Christian cultural engagement to their 10-year-old and 14-year-old children in age-appropriate ways without watering down the truth. What guidance and resources would you give?,T_E_CE_008,pastoral_v2
Secondary,Ecclesiology,Discipline & Unity,pastoral,A new Christian has been reading popular books that treat church discipline and the unity of the church as a 'secondary issue' but are using that claim to downplay the importance of core gospel truths. How do you help them think about the proper weight of this doctrine using theological triage?,S_E_DU_008,pastoral_v2
Secondary,Ecclesiology,Discipline & Unity,pastoral,A small group is studying church discipline and the unity of the church. One member says it is too abstract to matter for daily discipleship. How should the group respond?,S_E_DU_013,coherence_application_v2
Secondary,Eucharist,Frequency & Practice,objective,What are the most important scriptural passages supporting the frequency and practice of the Lord's Supper? How should this doctrine shape the everyday life of a believer?,S_E_FP_003,objective_v2
Primary,Trinitarianism,Distinction of Persons,objective,"How does the distinction of persons in the Trinity fit within the broader system of Christian theology? Identify two other doctrines it most directly supports or is supported by, and explain the connections.",P_T_DOP_001,objective_v2
Tertiary,Providence,Human Responsibility,pastoral,"In what ways does human responsibility connect to the life, death, and resurrection of Jesus Christ?",T_P_HR_009,coherence_application_v2
Primary,Theology Proper,Attributes of God,pastoral,"Your church's elder board is divided over a practical decision that hinges on their understanding of the attributes of God. Some want a quick vote; others want a slower, more deliberate process. As a pastor, how do you lead through this?",P_TP_AOG_009,pastoral_v2
Tertiary,Angelology,Demonic Activity,pastoral,A new Christian has been reading popular books that treat demonic activity and the powers of darkness as a 'secondary issue' but are using that claim to downplay the importance of core gospel truths. How do you help them think about the proper weight of this doctrine using theological triage?,T_A_DA_004,pastoral_v2
Primary,Christology,Deity of Christ,objective,"In a discussion, a participant says that historic formulations of the deity of Christ are culturally conditioned and should be revised for modern sensibilities. What is at stake if we do that?",P_C_DOC_016,adversarial_precision_v2
Tertiary,Providence,Human Responsibility,pastoral,One of the young adults in your small group is dating a non-Christian and is being told that their differing views on human responsibility don't really matter 'as long as we love each other.' How should you address this situation?,T_P_HR_006,pastoral_v2
Tertiary,Providence,Theodicy & Suffering,pastoral,"A Christian is using their strong view on the problem of evil, theodicy, and suffering to judge and divide from other believers who hold different but biblically defensible positions. How would you counsel them?",T_P_TS_009,adversarial_precision_v2
Tertiary,Israelology,Future of Ethnic Israel,pastoral,A parent in your congregation wants help explaining the future of ethnic Israel to their 10-year-old and 14-year-old children in age-appropriate ways without watering down the truth. What guidance and resources would you give?,T_I_FOE_004,pastoral_v2
Tertiary,Providence,Theodicy & Suffering,objective,"What is the core teaching of historic Christianity regarding the problem of evil, theodicy, and suffering? Provide examples from Scripture and major confessional documents.",T_P_TS_003,objective_v2
Secondary,Anthropology (roles),Image of God,pastoral,A longtime church member tells you privately that they are having serious doubts about the image of God in humanity. They say it no longer seems important or even believable to them. How would you counsel them pastorally?,S_AR_IOG_005,pastoral_v2
Tertiary,Ethics,Cultural Engagement,pastoral,A believer who struggles with assurance asks how Christian cultural engagement relates to their personal standing before God and their daily walk with Christ. What would you tell them?,T_E_CE_007,pastoral_v2
Tertiary,Angelology,Spiritual Warfare,objective,What are the central distinctions or nuances that must be maintained when teaching spiritual warfare in order to remain faithful to historic orthodoxy?,T_A_SW_001,objective_v2
Tertiary,Providence,Human Responsibility,pastoral,"A couple in your church has just lost their 4-year-old child to cancer. In the weeks that follow, they ask you pointed questions about human responsibility in light of their pain. How do you respond?",T_P_HR_005,pastoral_v2
Primary,Bibliology,Authority,pastoral,How would a misunderstanding of the authority of Scripture affect a believer's assurance or approach to suffering?,P_B_A_016,coherence_application_v2
Secondary,Anthropology (roles),Image of God,pastoral,"A couple in your church has just lost their 4-year-old child to cancer. In the weeks that follow, they ask you pointed questions about the image of God in humanity in light of their pain. How do you respond?",S_AR_IOG_010,pastoral_v2
Primary,Trinitarianism,Distinction of Persons,objective,What are the central distinctions or nuances that must be maintained when teaching the distinction of persons in the Trinity in order to remain faithful to historic orthodoxy?,P_T_DOP_006,objective_v2
Secondary,Eucharist,Frequency & Practice,objective,What is the core teaching of historic Christianity regarding the frequency and practice of the Lord's Supper? Provide examples from Scripture and major confessional documents.,S_E_FP_002,objective_v2
Secondary,Anthropology (roles),Image of God,objective,What are the most common contemporary misconceptions or distortions of the image of God in humanity? How would you correct each one from Scripture and historic Christian teaching?,S_AR_IOG_003,objective_v2
Primary,Trinitarianism,Distinction of Persons,objective,"How should a clear understanding of the distinction of persons in the Trinity inform the way a pastor or counselor answers questions about suffering, assurance, or daily obedience?",P_T_DOP_009,objective_v2
Primary,Soteriology,Justification by Faith,pastoral,A believer who struggles with assurance asks how justification by faith alone relates to their personal standing before God and their daily walk with Christ. What would you tell them?,P_S_JBF_014,pastoral_v2
Primary,Christology,Deity of Christ,pastoral,"In a Bible study, someone asks how the deity of Christ should shape a Christian's response to current cultural debates around [identity / authority / suffering / sexuality / end times]. Give a biblically grounded, pastorally wise answer.",P_C_DOC_012,pastoral_v2
Secondary,Anthropology (roles),Complementarianism vs. Egalitarianism,pastoral,A believer who struggles with assurance asks how complementarian and egalitarian views on gender roles relates to their personal standing before God and their daily walk with Christ. What would you tell them?,S_AR_CVE_006,pastoral_v2
Secondary,Ecclesiology,Discipline & Unity,objective,What are the most common contemporary misconceptions or distortions of church discipline and the unity of the church? How would you correct each one from Scripture and historic Christian teaching?,S_E_DU_002,objective_v2
Secondary,Baptism,Mode of Baptism,pastoral,One of the young adults in your small group is dating a non-Christian and is being told that their differing views on the proper mode of baptism don't really matter 'as long as we love each other.' How should you address this situation?,S_B_MOB_010,pastoral_v2
Tertiary,Israelology,Future of Ethnic Israel,objective,Why is the future of ethnic Israel considered essential (or non-essential) to the gospel itself? How does it relate to the person and work of Christ?,T_I_FOE_002,objective_v2
Secondary,Anthropology (roles),Complementarianism vs. Egalitarianism,objective,What are the most common contemporary misconceptions or distortions of complementarian and egalitarian views on gender roles? How would you correct each one from Scripture and historic Christian teaching?,S_AR_CVE_002,objective_v2
Primary,Trinitarianism,Unity of Essence,pastoral,"Your church's elder board is divided over a practical decision that hinges on their understanding of the unity of essence in the Trinity. Some want a quick vote; others want a slower, more deliberate process. As a pastor, how do you lead through this?",P_T_UOE_011,pastoral_v2
Secondary,Anthropology (roles),Image of God,pastoral,"A faithful Christian friend from a different tradition (e.g., a Presbyterian talking to a Baptist, or vice versa) asks you why your church practices the image of God in humanity differently from theirs. How do you explain your position while maintaining genuine respect and unity in the gospel?",S_AR_IOG_011,pastoral_v2
Secondary,Anthropology (roles),Complementarianism vs. Egalitarianism,pastoral,"A couple in your church has just lost their 4-year-old child to cancer. In the weeks that follow, they ask you pointed questions about complementarian and egalitarian views on gender roles in light of their pain. How do you respond?",S_AR_CVE_009,pastoral_v2
Primary,Theology Proper,Existence of God,objective,What is the core teaching of historic Christianity regarding the existence of God? Provide examples from Scripture and major confessional documents.,P_TP_EOG_007,objective_v2
Primary,Christology,Hypostatic Union,pastoral,One of the young adults in your small group is dating a non-Christian and is being told that their differing views on the hypostatic union of Christ don't really matter 'as long as we love each other.' How should you address this situation?,P_C_HU_008,pastoral_v2
Secondary,Anthropology (roles),Gender & Sexuality,pastoral,Two mature Christians in your church hold different but orthodox views on gender and human sexuality. One is insisting the other is not a 'real' Christian because of it. How do you address this as a leader?,S_AR_GS_011,adversarial_precision_v2
Tertiary,Creation,Ex Nihilo Creation,pastoral,A new Christian has been reading popular books that treat creation ex nihilo as a 'secondary issue' but are using that claim to downplay the importance of core gospel truths. How do you help them think about the proper weight of this doctrine using theological triage?,T_C_ENC_008,pastoral_v2
Primary,Theology Proper,Existence of God,objective,"In a discussion, a participant says that historic formulations of the existence of God are culturally conditioned and should be revised for modern sensibilities. What is at stake if we do that?",P_TP_EOG_014,adversarial_precision_v2
Secondary,Eucharist,Nature of the Lord's Supper,objective,Describe the historic confessional understanding of the nature of the Lord's Supper as articulated in the major creeds and Reformation confessions. Include key supporting texts.,S_E_NOT_002,objective_v2
Secondary,Eucharist,Nature of the Lord's Supper,pastoral,One of the young adults in your small group is dating a non-Christian and is being told that their differing views on the nature of the Lord's Supper don't really matter 'as long as we love each other.' How should you address this situation?,S_E_NOT_010,pastoral_v2
Tertiary,Creation,Days of Creation,pastoral,A Christian is using their strong view on the days of creation (length and nature) to judge and divide from other believers who hold different but biblically defensible positions. How would you counsel them?,T_C_DOC_009,adversarial_precision_v2
Tertiary,Eschatology,Signs of the End Times,pastoral,A Christian is using their strong view on the signs of the end times to judge and divide from other believers who hold different but biblically defensible positions. How would you counsel them?,T_E_SOT_008,adversarial_precision_v2
Primary,Bibliology,Authority,objective,What are the central distinctions or nuances that must be maintained when teaching the authority of Scripture in order to remain faithful to historic orthodoxy?,P_B_A_007,objective_v2
Primary,Theology Proper,Attributes of God,objective,"In a discussion, a participant says that historic formulations of the attributes of God are culturally conditioned and should be revised for modern sensibilities. What is at stake if we do that?",P_TP_AOG_015,adversarial_precision_v2
Secondary,Baptism,Meaning & Significance,pastoral,How would a misunderstanding of the meaning and significance of baptism affect a believer's assurance or approach to suffering?,S_B_MS_012,coherence_application_v2
Tertiary,Ethics,Cultural Engagement,pastoral,An atheist podcaster you are dialoguing with claims that Christian cultural engagement is one of the main reasons Christianity is harmful or incoherent. How do you engage their specific objection?,T_E_CE_004,pastoral_v2
Primary,Theology Proper,Attributes of God,objective,Describe the historic confessional understanding of the attributes of God as articulated in the major creeds and Reformation confessions. Include key supporting texts.,P_TP_AOG_001,objective_v2
Primary,Bibliology,Inspiration,objective,"In a discussion, a participant says that historic formulations of the inspiration of Scripture are culturally conditioned and should be revised for modern sensibilities. What is at stake if we do that?",P_B_I_015,adversarial_precision_v2
Primary,Trinitarianism,Unity of Essence,objective,"In a discussion, a participant says that historic formulations of the unity of essence in the Trinity are culturally conditioned and should be revised for modern sensibilities. What is at stake if we do that?",P_T_UOE_013,adversarial_precision_v2
Secondary,Baptism,Meaning & Significance,objective,Why is the meaning and significance of baptism considered essential (or non-essential) to the gospel itself? How does it relate to the person and work of Christ?,S_B_MS_002,objective_v2
Tertiary,Covenantology,Covenant vs. Dispensationalism,pastoral,An atheist podcaster you are dialoguing with claims that covenant theology versus dispensationalism is one of the main reasons Christianity is harmful or incoherent. How do you engage their specific objection?,T_C_CVD_007,pastoral_v2
Primary,Christology,Deity of Christ,objective,What are the central distinctions or nuances that must be maintained when teaching the deity of Christ in order to remain faithful to historic orthodoxy?,P_C_DOC_002,objective_v2
Secondary,Anthropology (roles),Gender & Sexuality,pastoral,"A thoughtful skeptic who is exploring Christianity says: 'I can accept that Jesus was a good teacher, but I don't see why gender and human sexuality matters or why Christians fight about it.' How do you respond with clarity and compassion?",S_AR_GS_005,pastoral_v2
Secondary,Anthropology (roles),Complementarianism vs. Egalitarianism,pastoral,A small group is studying complementarian and egalitarian views on gender roles. One member says it is too abstract to matter for daily discipleship. How should the group respond?,S_AR_CVE_013,coherence_application_v2
Tertiary,Providence,God's Sovereignty,pastoral,A Christian is using their strong view on God's sovereignty to judge and divide from other believers who hold different but biblically defensible positions. How would you counsel them?,T_P_GS_010,adversarial_precision_v2
Tertiary,Covenantology,Old vs. New Covenant,objective,What is the core teaching of historic Christianity regarding the relationship between the old and new covenants? Provide examples from Scripture and major confessional documents.,T_C_OVN_003,objective_v2
Primary,Prolegomena,Nature of Theology,objective,Describe the historic confessional understanding of the nature of theology as articulated in the major creeds and Reformation confessions. Include key supporting texts.,P_P_NOT_006,objective_v2
